user_id	design_id
402	393974
9331	403869
46987	390677
64266	390656
66984	395991
66984	400914
71378	373138
71378	384234
71378	384235
71378	384239
71378	384240
71378	384244
71378	384245
71378	384250
71378	384252
71378	384280
71618	383148
71618	383238
71618	383239
71618	383242
71618	383243
71618	383246
71618	383247
71618	383580
71618	383654
71618	383989
71618	384890
72042	373356
72042	373378
72042	380053
72042	384048
79881	395415
79881	395441
82021	387472
103558	407367
